"genes","logFC","logCPM","PValue","FDR"
"BTNL8",-3.01523410784312,3.08833117856836,1.08421565368904e-15,9.65454548311449e-14
"CCK",4.6433280679799,1.88957431080497,1.12890151371936e-15,9.98632220623057e-14
"E2F7",5.48360583313695,3.05735972254826,1.19741198267775e-15,1.0523138247768e-13
"NBPF13P",-3.63377768037658,2.04392258845621,1.31670005375206e-15,1.14963304693183e-13
"CHST13",-2.14464314033972,2.85626983530877,1.36799403300081e-15,1.18671275920832e-13
"E2F1",3.30361782188389,3.51285999014628,1.65977457833253e-15,1.43059801155508e-13
"DPYD",-1.72923667399721,4.57815387812176,1.87512923470558e-15,1.60592278279307e-13
"CLDN7",-2.26807036890739,2.70700543820766,2.02729163353382e-15,1.7252508420567e-13
"PKLR",-5.10310443259636,1.17677738414027,2.12043747899871e-15,1.79316995865513e-13
"CADPS2",-1.78424923210284,4.676584982227,2.303558759273e-15,1.93585319232404e-13
"TM7SF2",-1.86891436250703,6.17369004162798,2.3778565931988e-15,1.98587948771124e-13
"CYP2C19",-3.68159728073299,1.25596868056802,2.67058198095e-15,2.2165830441885e-13
"PBK",3.18320462465677,4.70502119486423,3.07964123429831e-15,2.54042061572853e-13
"NCAPG2",3.43030051790773,4.06181431015224,3.1142139826603e-15,2.55327568358844e-13
"LINC00273",2.20468689771781,4.22051601480513,3.54182087862955e-15,2.88626203236684e-13
"ASB13",-1.58239383986967,6.12256896185621,3.89785138427909e-15,3.15725962126606e-13
"COBL",-2.30691372460141,3.06426590899156,4.26311623960231e-15,3.43244676393369e-13
"BAAT",-2.1291355826137,5.27810209293365,4.55423136078909e-15,3.63227345514832e-13
"APOH",-1.91411604946553,9.15596151400387,4.5653295695379e-15,3.63227345514832e-13
"RMI2",3.42819984355119,3.30174425430959,4.60801261407584e-15,3.64466691816846e-13
"SERPINA4",-2.2701004581144,5.64884496693189,4.98343352024536e-15,3.91855246276135e-13
"CEBPA",-1.6917203979593,3.84277208053405,5.02797620100613e-15,3.93059116271677e-13
"DNAJC9",2.39015448785772,4.8473185163007,5.64109603177833e-15,4.38440330886078e-13
"H2AX",2.47148935637697,5.75244988090113,6.32081771524677e-15,4.88446637926483e-13
"GCKR",-2.11878483305743,5.29641553418422,7.07022600861699e-15,5.40842200699607e-13
"PECR",-1.53337728360747,4.60495770699225,7.07929698967208e-15,5.40842200699607e-13
"PKMYT1",4.59473274300886,3.97490259278304,8.72112509997156e-15,6.62509876238518e-13
"IQGAP2",-1.53260213810785,4.17034356811733,9.42838627767003e-15,7.12213943199726e-13
"SKA3",4.26656425227993,3.05504983215101,9.62441659243325e-15,7.22960365932165e-13
"HPD",-2.00138730550036,7.98172884890542,1.01855925640229e-14,7.60863764532508e-13
"RFC3",2.94967524330549,3.53166562128891,1.1305879680302e-14,8.39883194372048e-13
"ABCB4",-1.74054116038184,3.51741278139495,1.35591607595637e-14,1.00173887677524e-12
"FANCD2",4.31230417099689,2.35837823403666,1.42591288768222e-14,1.04769533812979e-12
"SPAG5",3.49564409699775,4.01140263382328,1.55204693142758e-14,1.13417516521604e-12
"PPP1R1A",-2.45497415297964,2.47230722480876,1.80684605746639e-14,1.31323524803747e-12
"BUB1B",3.99807452212045,2.7601127418077,1.93929363866882e-14,1.40192162717962e-12
"ACSM2A",-3.03163379975643,6.00791511067019,2.2096448957363e-14,1.58881739401445e-12
"NCAPG",4.17013337317777,3.86207598106896,2.41635895662814e-14,1.72821077291607e-12
"RAD54L",5.78288264680366,2.20050331625615,2.47778661015708e-14,1.7627681883689e-12
"SH3PXD2A",-1.64579532404297,3.80059205495751,2.81550638066576e-14,1.99248941023326e-12
"ACBD4",-1.84556411702714,3.62681630443259,2.84225139180887e-14,2.00088545624409e-12
"RACGAP1",2.97362292406225,3.91799224085401,2.87928394065163e-14,2.01639853468759e-12
"PRODH2",-2.68122999424795,4.11715663995772,3.0306696185563e-14,2.11141884409886e-12
"TMEM106C",1.99640464980551,5.96642818804046,3.11259754346902e-14,2.15731889533425e-12
"BCYRN1",3.84671199172541,5.88472189650466,3.50519318809048e-14,2.41696551831101e-12
"FBLN1",1.82364535995887,4.12955986155329,3.556331445051e-14,2.43971594949774e-12
"KLB",-3.23647450398006,1.62347886069129,3.65759261952375e-14,2.49644621127494e-12
"CPB2",-2.0185499845649,8.03376584588169,3.68963390319843e-14,2.50559684153566e-12
"HELLS",4.18136241973986,3.08786083594498,3.83383385850704e-14,2.59043869655707e-12
"HMGN2",1.38081197639328,8.62561283185041,4.27329892583289e-14,2.87293886783745e-12
"TRIP13",4.42152261013598,3.01001469825898,4.52528512648662e-14,3.0272131249124e-12
"ABCB1",-1.43207749828701,5.30178818785636,4.67826327057067e-14,3.11405583842046e-12
"GPR153",-1.56710919048912,4.67785417698369,5.14771196523173e-14,3.40966182682295e-12
"H2AZ1",2.06964075411207,7.69892891096172,5.94962246509311e-14,3.92150116008049e-12
"FANCI",4.56526937732129,3.72655641459363,6.3997641000254e-14,4.19762088238739e-12
"ADH6",-2.56784211593051,4.36888584639523,7.09466500867133e-14,4.6308187236211e-12
"TPX2",3.82425147474943,4.26354069609051,7.49491462415135e-14,4.86843584716614e-12
"FYN",-3.19048022606527,1.26502985210502,7.85760018498611e-14,5.07948519650593e-12
"MYH14",-1.56042842337574,4.86090576515049,8.38882682116337e-14,5.39694571470635e-12
"OIP5",3.14177696754861,2.44764994894552,8.50435379730876e-14,5.44521624564827e-12
"SPC24",3.14086363553865,2.9676941949056,1.06817842968628e-13,6.80697969931838e-12
"CDCA8",3.25187199538767,3.3579072905899,1.09756986640303e-13,6.9612851054977e-12
"TMPO-AS1",3.36928438096632,2.67839262893502,1.16700882558416e-13,7.36694867080028e-12
"PLK4",4.14308363032652,1.94366094329911,1.19593591074243e-13,7.51427768964611e-12
"SULT2A1",-3.81596043902389,7.52052781651341,1.28381352351775e-13,8.02891006382309e-12
"SHMT1",-1.41628587259914,6.40103876564989,1.31135167156142e-13,8.16316415546984e-12
"MXD3",2.65169493197389,3.44666781368891,1.69586078179252e-13,1.05080848257983e-11
"RBP4",-1.68956545969438,11.9296270998501,1.7748071726162e-13,1.09468152490814e-11
"PRC1",3.62037441031086,4.1091470873494,1.90817444046789e-13,1.17156682769549e-11
"SLC7A11",2.13848552251222,4.18114908614994,1.96267551036854e-13,1.19955158692797e-11
"FAM111A",3.30067592092816,4.17318426760737,2.05483653306532e-13,1.24414168071936e-11
"MCM5",2.55538706918525,4.53089877526654,2.06160443614538e-13,1.24414168071936e-11
"CENPM",3.75738405730889,4.16292190761653,2.06339130448027e-13,1.24414168071936e-11
"OCLN",-1.87408035289758,3.06399976138504,2.51868125692811e-13,1.51188340092211e-11
"PLK3",1.44006251341101,4.42544059852256,2.5640751267526e-13,1.53229129574735e-11
"ERBB3",-1.5150185503554,4.42571817866699,2.78766322440409e-13,1.65853627059015e-11
"WDR76",3.36218052298355,2.76255321623176,2.80323113793464e-13,1.6604513603819e-11
"ALDH6A1",-1.45442247306467,6.0092864379621,2.87174903999154e-13,1.69357621016343e-11
"CYSLTR1",-2.19102438635105,3.43439222158849,2.89102420848448e-13,1.6974983190953e-11
"CKAP2L",4.29166636922528,3.1784234300745,2.94005288621696e-13,1.71878048295971e-11
"RNASEH2A",3.32298088104773,4.73181426026824,2.9928840243261e-13,1.74209171389995e-11
"CCNB1",2.30481648902505,3.76984803019056,3.29260640912634e-13,1.90829249039279e-11
"GJB1",-2.51791325656423,5.14112176393825,4.0704845679307e-13,2.34900152362216e-11
"NUF2",4.27314706146031,2.62140928800765,4.10331766042854e-13,2.35782945564624e-11
"TGFBI",1.47467811674264,7.10707020596776,4.17767131562942e-13,2.38144199252922e-11
"CENPF",3.86370748703573,3.14897269744456,4.17983274012268e-13,2.38144199252922e-11
"CXCL13",-1.68502897796577,7.4168679971949,4.239784660368e-13,2.40540694275561e-11
"SORBS2",-2.3180966605097,3.13915078797338,4.59194463924602e-13,2.59425578232361e-11
"CERS4",-1.62261349746386,4.66554815574642,4.69891246249495e-13,2.64358062638942e-11
"ECT2",2.92830785936588,3.73234562644794,5.2777983283521e-13,2.95688651345927e-11
"SERPINA7",-2.44633397167755,4.59733581654406,6.14883501763328e-13,3.43059069075092e-11
"ALYREF",1.7369750873966,5.43815618995063,6.19704759909889e-13,3.43113392569675e-11
"CDC25C",4.67605044795122,1.6672345583091,6.20084444403026e-13,3.43113392569675e-11
"RAD51",4.46165045330376,1.79239771255411,6.77151824945947e-13,3.73155058943574e-11
"CDCA4",2.25746855500863,3.64096071414771,7.84936891746536e-13,4.30786181486691e-11
"ORC1",4.13201566183335,2.00649018462231,8.16736111874117e-13,4.46416006514609e-11
"MCM8",3.45287748179682,2.51715945240648,8.29707640421237e-13,4.51669997291658e-11
"A1CF",-2.04106580760019,5.14468151018175,8.55978610850127e-13,4.64092274253662e-11
"CIP2A",4.81776125820994,2.19124331547084,8.70052493626001e-13,4.69828346558041e-11
"BUB1",3.27709550567971,3.50253071571367,9.16536679607965e-13,4.92950087760348e-11
"KIFC1",3.87728651497156,3.88645895154514,9.25625488383642e-13,4.95854992701452e-11
"KIF4A",4.28996927810034,2.36985251120867,1.03939002039697e-12,5.54588818026099e-11
"ORC6",3.08684755250316,3.20879079615883,1.07956672737265e-12,5.73749178508012e-11
"CDC20",2.60958004025446,3.89878656098499,1.15794280332598e-12,6.12980272973274e-11
"BCL2L12",1.55659606631089,4.20898753537045,1.24772187128039e-12,6.57916403185733e-11
"RAD51C",2.01347791376311,4.59123904636054,1.29085482684838e-12,6.78001328195443e-11
"SLC27A5",-3.27114425180517,1.31623279058698,1.31294289694884e-12,6.86919462738294e-11
"EGLN3",1.25861668870115,6.19026838245291,1.32476998548413e-12,6.90420822667424e-11
"CHAF1A",3.05091957926681,3.20860051538516,1.45596393714917e-12,7.55864521193349e-11
"PLCXD3",-1.67863884527497,4.78010156912113,1.47631745282199e-12,7.63483248870939e-11
"C11orf54",-1.29496697577803,5.39993729860681,1.49677506335319e-12,7.71097222292986e-11
"DCK",2.00791956874689,4.45020304339106,1.54640578996357e-12,7.93624895108787e-11
"GPHN",-1.79107263555147,3.97225486891705,1.59352453947787e-12,8.14696994593896e-11
"CYP8B1",-3.21145180547269,2.07534495286879,1.66448803952784e-12,8.47754021950431e-11
"LIG1",3.3438848526986,3.58317915583118,1.70123918241035e-12,8.63202341384513e-11
"CHRNA5",2.83924209800394,2.46747417310671,1.76055483566527e-12,8.89940613547188e-11
"FANCG",4.10377216574415,3.25485765699269,1.95206418143734e-12,9.83050748449683e-11
"DDX11",3.29863044735634,2.69439705071367,2.11052691882876e-12,1.05888600561834e-10
"RHOU",-1.25206717634707,4.80089512103797,2.21407810007488e-12,1.10670981909319e-10
"PMAIP1",2.54378816511219,5.23036338303585,2.38474351774722e-12,1.18760227183812e-10
"KIF23",3.72173289055716,3.1694367289603,2.68699480867613e-12,1.33318568994315e-10
"FOXM1",3.58270726808366,3.21499872458251,2.74933751250199e-12,1.35910265415815e-10
"TUBB",2.26652926337045,8.7398974564517,2.89484079239496e-12,1.42578861884772e-10
"HJV",-3.18815246093026,1.77702873072937,3.63582728696919e-12,1.78420925914554e-10
"LACC1",2.06716815648826,3.79824587338067,3.67220697277418e-12,1.79550890748806e-10
"ALDH3A1",3.12314508689129,8.5398649600694,3.72833871022096e-12,1.81634935860982e-10
"NR0B2",-3.64742562636491,1.20062919357218,3.96693463459848e-12,1.92561022010149e-10
"RRM1",2.44360547038931,5.51173734092114,4.05879356234327e-12,1.96311288630459e-10
"FIGNL1",2.79288521243147,2.88499062417039,5.804974226106e-12,2.79762306251689e-10
"NUDT1",2.14956211029676,4.00307328427127,5.89316896865037e-12,2.82998392687403e-10
"C19orf48P",1.63847550320477,5.17864276238118,5.91636101199063e-12,2.8310103262358e-10
"ABHD2",-1.25382259194275,6.43942115078877,6.13259633222158e-12,2.92407412351246e-10
"ESCO2",3.72775365365524,2.71175928840095,6.6087230549619e-12,3.13996078434692e-10
"FMO5",-3.4885970159291,5.10466840977051,7.13097652526421e-12,3.37616585770079e-10
"NEK2",3.31418968596409,2.28355696516617,7.55367969048504e-12,3.56374656555305e-10
"CYB5A",-1.56422781715798,9.12568383355983,8.23218253149303e-12,3.87027714400193e-10
"AFM",-2.55545826526232,2.52842105954938,8.5068502271029e-12,3.98547415169427e-10
"MDM2",1.39331527521922,7.12959588995866,8.54625229816803e-12,3.9900315417072e-10
"CLSPN",5.43497830930845,2.38931550510841,9.1287327788602e-12,4.247229790469e-10
"PROX1",-1.8901918369951,2.91714949009383,9.67431870247389e-12,4.48554790598151e-10
"CENPQ",2.44033997898893,2.85589736210763,1.07785633210629e-11,4.98036296958805e-10
"DONSON",2.14355791672553,3.97803888582427,1.10500896541055e-11,5.08833922907887e-10
"ERCC6L",5.24403724682962,1.90658160137176,1.13176964865073e-11,5.1853042718592e-10
"LMNB1",2.78407853289593,3.66850105555039,1.13377915805935e-11,5.1853042718592e-10
"ZWILCH",2.49870201874844,3.26696611725879,1.15041187519986e-11,5.24353833014824e-10
"CIT",3.49147882250036,1.95813349585517,1.18410633844366e-11,5.37888304956536e-10
"ALDH1A1",-1.25622594458479,9.30419624112707,1.20258988104105e-11,5.44445237053129e-10
"ARL4C",2.05204589227327,2.87258558326256,1.24706342232218e-11,5.62685059615571e-10
"ASGR1",-1.62265672262607,4.88795433070755,1.37521226841885e-11,6.18431577296315e-10
"TRAPPC9",-2.13810995564305,2.81343798253078,1.4339578511361e-11,6.42699908879201e-10
"IER3",1.21976113064901,8.02787899743649,1.46727328643522e-11,6.55447063435478e-10
"MKI67",4.0847250302163,4.16485874753556,1.55547657899257e-11,6.925476185806e-10
"CSE1L",1.50717176394777,5.72971375778935,1.56683857555711e-11,6.95304009469997e-10
"MYBL2",3.99929962443241,2.7359550215055,1.57605897663107e-11,6.97095032887545e-10
"BRCA1",4.03550378772282,2.38317167162627,1.6807853059106e-11,7.4097833518931e-10
"MCM6",1.847494886875,4.43460307365114,1.81152820599484e-11,7.96006805810672e-10
"EPHX2",-1.57368176241382,5.4544725580632,2.23437986398266e-11,9.78614711762568e-10
"CTB-1I21.1",-2.36241973780013,2.49480428868805,2.302579769326e-11,1.00521063566095e-09
