"genes","logFC","logCPM","PValue","FDR"
"ABAT",-2.20891496528187,5.59894947545318,3.50219147320188e-16,4.28095150442477e-14
"HRG",-5.80151129641592,1.43340961276667,3.62355260503573e-16,4.38939534480274e-14
"RRAD",2.79248655861663,4.76265223945683,8.22405025876612e-16,9.87326605172939e-14
"ENPP6",-3.33067683891728,1.92274722915377,8.68560894754018e-16,1.03351060096129e-13
"OSGIN1",-1.62788785255572,5.67906940463953,1.22072726149872e-15,1.43981568053612e-13
"AZGP1",-2.57367932601721,8.56350554279578,1.44967482391673e-15,1.69498501585951e-13
"C1orf115",-1.63684804702083,4.65818821477036,1.85409005740729e-15,2.1491461130947e-13
"FGFR4",-1.85174919413943,4.53133245869583,1.89672718591208e-15,2.17977724288665e-13
"HNF4A-AS1",-6.11367992950505,0.75983931867029,2.01068160032891e-15,2.29115464390021e-13
"RBP5",-2.02801581823325,3.33574374143381,2.48302638812141e-15,2.80561116089751e-13
"DIO1",-3.13897800071183,3.76210851970977,2.64534505098941e-15,2.96410912963363e-13
"PRG4",-2.20473397575029,3.38051885407923,3.02067804283969e-15,3.35669726975392e-13
"FCGRT",-1.45162934679049,6.5926134504601,4.36627754896443e-15,4.8122104855226e-13
"LINC00261",-2.95083317815971,3.25944155696661,4.89519101039076e-15,5.3280776044749e-13
"VIL1",-7.64221977302128,0.82318009276702,4.91359231708231e-15,5.3280776044749e-13
"GNMT",-2.83062886276258,2.45084704455497,5.2833771806008e-15,5.66138604816959e-13
"KCNK5",-2.3716093737602,2.76230306549043,5.30518103576803e-15,5.66138604816959e-13
"PLA2G1B",-4.03263136881351,1.53082170884128,5.48999228847543e-15,5.81247530006619e-13
"SORBS2",-2.55512713204129,3.13915078797338,6.72799424291191e-15,7.06754770235887e-13
"EHHADH",-1.39512875901149,6.4739750462719,8.49418212555327e-15,8.8537033224953e-13
"ARG1",-5.06595384776197,0.644824135402615,1.01531616661037e-14,1.05014932124946e-12
"ABCB1",-1.47321827723521,5.30178818785636,1.03616311627119e-14,1.06353047796812e-12
"PKLR",-5.18665359462134,1.17677738414027,1.07832176856771e-14,1.09841776516374e-12
"SLC27A5",-3.7768574450977,1.31623279058698,1.30084475574419e-14,1.31512470569446e-12
"NBPF13P",-3.44350735491353,2.04392258845621,1.32828806468005e-14,1.33284785952896e-12
"SERPINA4",-2.2188884633425,5.64884496693189,1.48069257204144e-14,1.47476980175327e-12
"SH3BGRL2",-2.14866198791865,3.14782709938363,1.92422118293187e-14,1.9024322077722e-12
"ZBED3",-1.48974043510364,5.44588404989033,2.00342681582532e-14,1.95468723627335e-12
"HP",-2.78141361912769,12.8120413530001,2.00614932772365e-14,1.95468723627335e-12
"SLC47A1",-1.42158216257474,4.59738302204134,2.16378859225138e-14,2.09311520945411e-12
"KHK",-2.10431373429735,5.89581763282233,2.65404341951055e-14,2.54901912990992e-12
"ACSL5",-1.35127525969699,7.5236616501684,2.70878880682791e-14,2.58314711323461e-12
"HNF4A",-2.07511598239436,5.37293955417023,3.64802383119772e-14,3.45431890382286e-12
"C8A",-3.06952647962638,1.79710736533279,4.12308786320536e-14,3.87685590270344e-12
"CLDN7",-2.10548944010842,2.70700543820766,4.89712778693845e-14,4.57269307105377e-12
"VNN1",-2.58787096594221,2.66116081813131,4.93236721759368e-14,4.57383514536308e-12
"F2RL1",-2.29933486542033,3.81334622929294,5.56635545157029e-14,5.12638461656261e-12
"AGMAT",-2.00013003253102,3.70528411680302,6.91245439968891e-14,6.32277971824606e-12
"BAAT",-2.03116651957834,5.27810209293365,7.24941613345905e-14,6.58619252233043e-12
"APOC3",-5.96451413542064,8.40736676306823,8.79770031990899e-14,7.93918647661049e-12
"NR1H4",-1.66962398452443,4.5031005394767,8.97040092932052e-14,8.04106739304291e-12
"CYP4F12",-2.07894139984392,4.40984607629192,1.0613952014955e-13,9.45133766841626e-12
"CYP4B1",-1.87442982208718,6.99690683925876,1.16626522109285e-13,1.03168435281674e-11
"UGT2B15",-4.70645404633668,3.15840766274556,2.43286361786049e-13,2.13805779122563e-11
"ENPEP",-2.53517580381924,3.22205085634664,3.49593725739584e-13,3.05236184174964e-11
"CFH",-1.72810568324102,7.70732025988699,4.38534237246831e-13,3.80421377678767e-11
"ADH6",-2.47432611470508,4.36888584639523,5.50588113164233e-13,4.74564600615787e-11
"HLF",-2.61248037827673,3.20823249790928,8.06116356836557e-13,6.90384747390085e-11
"PLS1",-1.87033102229742,3.42959768425763,9.17482205381267e-13,7.80788970478261e-11
"GPX2",-4.68430018451741,4.37347748237806,9.35286550554992e-13,7.90934777280655e-11
"C5",-3.30188777059651,6.12185352652692,9.53517896171313e-13,8.01312601994967e-11
"SLC22A1",-4.09522973392606,1.88510933294974,1.01286895353569e-12,8.4590285399012e-11
"ALDH1A1",-1.32114947089265,9.30419624112707,1.07344316608143e-12,8.86688916839854e-11
"ETNK2",-1.44687608846463,8.16277629034088,1.07489434363302e-12,8.86688916839854e-11
"HPX",-4.78936901850457,7.50961230876239,1.31548728698985e-12,1.07853915005278e-10
"AKR1C1",-1.50001030112116,9.66310710810226,1.38334188861932e-12,1.12729788087123e-10
"TNFSF10",-2.03145174009249,5.10315006481669,1.39808212175486e-12,1.13244651862143e-10
"APPL2",-1.45031673817366,4.4722209475456,1.58004247010415e-12,1.27217072173775e-10
"CREB3L3",-2.29904843267095,5.27952872030145,1.62298079396829e-12,1.29896427117248e-10
"FGB",-2.66629531779576,11.7084863110682,1.63481692171238e-12,1.30069516741684e-10
"PDXP",-1.62315998313728,4.43338334258327,1.78503416239997e-12,1.4111925846558e-10
"FGL1",-4.19680318064741,8.392299385895,1.79468936468943e-12,1.4111925846558e-10
"ABCC6",-1.30341634187308,4.47935751111959,1.8818811264708e-12,1.4711496294492e-10
"MMP2",3.06213762170039,2.54226082579261,2.042204371167e-12,1.58725317772899e-10
"C8B",-3.6509676326959,1.4882893475495,2.06380787115813e-12,1.59482532388461e-10
"GPER1",-3.9951233352823,2.06202341869937,2.31486061457387e-12,1.77860661848916e-10
"GLYCTK",-1.51205920128497,5.19016826522989,3.11112504025874e-12,2.3768288233704e-10
"ACSM2B",-2.21657419273818,4.70605307021102,3.19966209580008e-12,2.43065856158915e-10
"TSPAN33",-1.37567738462401,4.50278431781982,3.26576786650451e-12,2.46693902994493e-10
"SLC38A3",-2.27079005403913,3.61582576816112,3.74492172341118e-12,2.81308477614451e-10
"CP",-1.5331166284909,7.65168087719599,4.05615529873439e-12,3.02994800815459e-10
"KLKB1",-2.13246943421814,2.43530839024147,4.42769785424322e-12,3.28921687006378e-10
"CYB5A",-1.58515253129364,9.12568383355983,4.57414545280757e-12,3.37933844826651e-10
"CALB2",2.42192489490833,2.77082871492598,4.72065810840241e-12,3.46852289210813e-10
"ANKS4B",-2.91740659998392,2.73920178893297,4.77554001699067e-12,3.48977777545959e-10
"SERPINA1",-2.27506307344209,13.4733806938519,4.99836650736891e-12,3.62507480532665e-10
"CD68",-1.88043371673173,6.24475795963504,5.01460593329433e-12,3.62507480532665e-10
"CD14",-2.20107826079263,5.14907766335466,5.61696565765869e-12,4.03880856860314e-10
"DHCR24",-1.31974699715616,8.96146788397882,5.77289303665701e-12,4.11626489407124e-10
"TAT",-3.19735462145668,1.89359166100339,5.78591450973869e-12,4.11626489407124e-10
"NRXN2",-3.7954586324894,1.11188600962477,5.86254289800056e-12,4.13389344415904e-10
"CES2",-1.31467804540695,8.64575515154745,5.87218241733137e-12,4.13389344415904e-10
