"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"MMP14",761.522297360209,1.14654582760688,0.198289525857656,7.11571217006146e-10,4.74753539117767e-08
"TM7SF2",434.738018608996,-1.36454334205652,0.237863376347772,7.58661802026514e-10,5.0377300986699e-08
"SLC35D1",168.884059715355,-1.22730615869687,0.214068533053722,8.68232352160925e-10,5.73811485194657e-08
"AKR1A1",828.78011712939,-0.786687182181227,0.135112583589759,9.47010603094378e-10,6.22937350232645e-08
"CYSLTR1",64.933471611056,-1.85520596212184,0.330783212888796,9.76480387930832e-10,6.39320874546677e-08
"FGL1",2023.55510500017,-3.93540758910547,0.705854764098706,1.01694329470003e-09,6.62715930327539e-08
"SORD",277.122602986297,-0.894286387432232,0.155835473612599,1.27843417778219e-09,8.29265799301218e-08
"TLCD5",90.4129665483605,1.34880054556038,0.239797335454305,1.47694644651057e-09,9.53617357698602e-08
"ANXA9",56.0796710669462,-1.88721330415416,0.339413239447121,1.5256502666862e-09,9.80545224153226e-08
"REPS1",120.456718456508,-1.18832601319412,0.210442423367209,1.58362975685769e-09,1.0131614850837e-07
"ACMSD",179.822538943415,-1.77670833378812,0.319977254107824,1.61189152436376e-09,1.02655509763003e-07
"C8A",19.7539224602413,-2.8959736382993,0.517392673144591,1.68790901429885e-09,1.07010376467607e-07
"BTD",119.117291181433,-1.30204224114719,0.232405165479864,1.72463950563835e-09,1.08846505015761e-07
"CALCR",50.4396525625693,3.29554827174897,0.598969414356015,1.73256394064665e-09,1.08856293149776e-07
"TAT",21.2268535701265,-3.00126330873004,0.545414418104619,2.20902536334887e-09,1.38172564133397e-07
"CAMSAP3",63.3272056917556,-1.87582279939065,0.343639435627261,2.27642594405845e-09,1.41128335850455e-07
"IGFBP7",1010.31661766282,1.50037709196547,0.271195491131581,2.27333746733791e-09,1.41128335850455e-07
"ABCC2",382.013589031574,-1.27827402372545,0.2301262452159,2.32031541505183e-09,1.43215591543133e-07
"F10",64.3772566463808,-1.61213971899929,0.291308622603589,2.41454072327727e-09,1.48377763481745e-07
"VGLL2",30.4602330553994,2.32604654332864,0.424939576465071,2.43913431022475e-09,1.49234545067943e-07
"NDRG1",443.727844944704,-1.50280776203203,0.273446828462318,2.68911783234838e-09,1.63814043256666e-07
"MAN1A1",463.998555955444,-1.49837079464066,0.272674542358849,2.82456481799014e-09,1.71320249631428e-07
"UGT2A3",224.101001037024,-2.47078035767518,0.454494259228324,2.91705354621146e-09,1.76167401879176e-07
"CFHR1",396.039694453116,-4.2655387798347,0.796047900552723,3.41073738347304e-09,2.05098032102321e-07
"MAL2",258.105342306415,-1.11300821024449,0.201708875584205,3.50316535509767e-09,2.09755768334502e-07
"ITGA1",164.759641327308,-1.21031495848053,0.220602718539955,3.55409642971137e-09,2.1189976628377e-07
"AGMO",53.6722843210194,-1.72489955819198,0.317083153153521,3.80774034025512e-09,2.25639758647543e-07
"SLC27A5",14.5132017341856,-3.5882142478264,0.657214385636112,3.81675988862091e-09,2.25639758647543e-07
"NHSL1",34.9171245327261,-2.08116364173664,0.386381608767112,4.12018691104307e-09,2.42554364750523e-07
"PLA2G1B",16.5256744793977,-3.87233141496716,0.695702386223664,4.24175909727137e-09,2.48666471597779e-07
"LINC00273",110.173930137502,1.68045441181067,0.313773152880542,4.30435838160338e-09,2.51284855352687e-07
"HSD17B11",648.879032861734,-0.905786500513015,0.1638983367054,4.34773629195505e-09,2.52764038118598e-07
"TLCD4",146.852222669271,-1.28465040591243,0.237013989522894,4.77563712131939e-09,2.76493602094239e-07
"SH3PXD2A",83.9696471646858,-1.29548585960372,0.240846960979425,5.55920789351477e-09,3.20535233728541e-07
"MPZL2",67.2559234009957,-1.63162561889412,0.304918250585751,5.89068723967027e-09,3.38255815225492e-07
"TM4SF4",558.728823369754,-2.03955010391751,0.384382741795782,6.17952228625698e-09,3.53393007154068e-07
