"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"HPD",1522.07919971683,-1.94549976655522,0.241298431538893,6.96706297717678e-17,8.20298482127931e-15
"KIF2C",58.5335597343878,4.07287529292464,0.50623078413798,7.53876883380698e-17,8.8021408442058e-15
"RBP4",23452.9793285064,-1.63425228464789,0.203452990669154,8.92818916735041e-17,1.03382527622931e-14
"ABCC6",133.981025983733,-1.64434306526447,0.206720938155243,1.71085126913774e-16,1.96481451900728e-14
"HAO1",171.164752599575,-2.21671978268927,0.279459754299407,1.75182638643435e-16,1.99551540653103e-14
"GINS4",42.1018441660753,4.31224620880611,0.540564383724651,2.04929056895947e-16,2.31553307755574e-14
"DHFR",271.108921808247,2.28099990199305,0.289428225160915,2.13457518056496e-16,2.39260262839165e-14
"GNMT",31.640825319015,-3.81803235261336,0.479870639895826,2.58415610709661e-16,2.87354057274053e-14
"PBK",155.08877802391,3.10259665237951,0.396225217813199,2.84724578515011e-16,3.14116225950694e-14
"FAS",290.507663131429,1.61084117609524,0.203890024972181,2.9731034526996e-16,3.25438691216986e-14
"TGFBI",830.754787687456,1.44932063589245,0.183424502744217,3.11157575493195e-16,3.37955720173268e-14
"ESPN",59.1362020694888,-2.32190727247392,0.296346931034587,4.32003792484077e-16,4.65600395114954e-14
"ACSM2A",387.315788881364,-2.92665721940365,0.376271018358164,4.72861157092156e-16,5.05744860459405e-14
"NCAPG",85.7095412796643,4.06549833216778,0.52802431782552,5.22129843840192e-16,5.54209185003404e-14
"H2AZ1",1251.41546967118,2.01875894606598,0.260911902166864,7.95171113220007e-16,8.37679884761318e-14
"UGDH",1308.41571390726,-1.04155712004927,0.132939196456492,8.47875242228482e-16,8.86535822303228e-14
"PBLD",74.8356276500784,-2.04886154706689,0.265504527397771,8.63195513334527e-16,8.95869062024449e-14
"KIF11",60.4544412833852,3.46905026181834,0.453901938953728,9.67441616109663e-16,9.89403246957116e-14
"NCAPG2",98.4916535294074,3.34607116699882,0.433470852538345,9.60703190661324e-16,9.89403246957116e-14
"ELMO1",72.0061763257825,-2.14037041419079,0.277860653165672,1.04445433152564e-15,1.06042388688447e-13
"H2AX",322.931302198918,2.40827527363827,0.313667840505335,1.05571162282188e-15,1.06414212570916e-13
"NEIL3",37.0966022222585,4.95874934571907,0.649248680847733,1.11088286858302e-15,1.11175570512262e-13
"FANCI",77.7801086051826,4.4546289942266,0.577974290977826,1.19323852616351e-15,1.18570673688489e-13
"TMSB15A",45.0703127222963,4.18057173953079,0.535088858892193,1.23701875808964e-15,1.22055421264746e-13
"HNF4A",249.88252557561,-2.19031100444931,0.285024273768592,1.25199545237569e-15,1.22669288693957e-13
"CLRN3",163.388023869376,-1.63032236146479,0.211881745325831,1.41297596951268e-15,1.37480599366959e-13
"ASB13",419.962057706148,-1.52929789428951,0.198587221991076,1.45253270724341e-15,1.403547293875e-13
"NDC80",54.9339224373499,3.51537564656133,0.457728859809541,1.48961079971264e-15,1.4295162270393e-13
"TPX2",113.766078411833,3.72190747794909,0.489063983300484,1.50092932830697e-15,1.43057964754483e-13
"SMAD3-DT",39.015010292837,-2.59718435628645,0.339057558571122,1.71163269730405e-15,1.62038417040047e-13
"SPAG5",95.3051459883128,3.40463639992906,0.449674882595033,2.297050803265e-15,2.15999857748631e-13
"TM7SF2",434.738018608996,-1.8054978266573,0.237187288877202,2.43245654093148e-15,2.2720765729994e-13
"TMT1A",1325.79310386859,-1.13467806644513,0.147818892384566,2.56472916361984e-15,2.37976293453494e-13
"SHMT1",508.644299396075,-1.36857201289841,0.179508852917039,2.88566565251775e-15,2.65993825377804e-13
"ALDH3A1",2241.58418480958,3.03208163710026,0.403191274764121,3.10663062079265e-15,2.8449020671847e-13
"LINC02762",70.978585710248,2.33716992380479,0.307900697142686,3.17754269929442e-15,2.89094485453338e-13
"CCDC34",67.6208378183891,3.25413888731978,0.426482205796402,3.37527505023161e-15,3.05103088572872e-13
"CPB2",1576.45026694732,-1.94463993075962,0.257560893640943,3.43655744806234e-15,3.08651323107702e-13
"E2F7",48.5708251979496,5.36076497981258,0.724434490594345,3.91688894257711e-15,3.4955115270349e-13
"SERPINA4",302.317252805104,-2.19233695223406,0.292218074164305,4.77730727075814e-15,4.23638304877167e-13
"E2F1",66.7841609028904,3.21963037609093,0.430756963545985,4.96433515376674e-15,4.37454715971232e-13
"DNAJC9",171.602877478528,2.32692988209918,0.312004105004358,5.68368761491353e-15,4.97713419828459e-13
"CENPM",106.22483885564,3.6538126021839,0.490092023451624,6.46428741550657e-15,5.62553608563122e-13
"TSPAN33",136.52782714096,-1.63586610943406,0.21938817217366,7.51276871111043e-15,6.49761743280051e-13
"RNASEH2A",158.118565175489,3.22649175454784,0.436564230012285,8.56808519348297e-15,7.36487372060674e-13
"RMI2",57.5220900462006,3.33877698695672,0.451795937757563,9.59469193092202e-15,8.19702613683832e-13
"SKA3",48.4320542824045,4.16048519541775,0.561853385951404,9.84555061158755e-15,8.36036421933049e-13
"PTGR1",6366.86037238267,-1.01173700371963,0.134667798390148,1.0930533182985e-14,9.225765085952e-13
"TMEM106C",374.930986618042,1.9448972964557,0.263169453681982,1.16889941200263e-14,9.80685608477179e-13
"PRC1",101.819254041707,3.51802824663289,0.47792217998991,1.21628651889484e-14,1.01436847715689e-12
"FMO5",208.287210434239,-3.36823058489406,0.461231056815646,1.35527499947812e-14,1.12359514897562e-12
"MND1",45.1098879914065,3.70368097248902,0.498431640128404,1.38948122405062e-14,1.14517773118666e-12
"FAM111A",106.909304929812,3.20300462808238,0.440160182137149,1.56357852217279e-14,1.28112857743643e-12
"ABHD2",522.385111516075,-1.21238630481703,0.163230952668575,1.60212556316171e-14,1.30508030613132e-12
"HELLS",49.4892481188609,4.06480662207892,0.56136487526366,1.64248497549586e-14,1.32630925911609e-12
"KIFC1",87.4305540954731,3.76365064571669,0.517493112072437,1.6471187715809e-14,1.32630925911609e-12
"RACGAP1",89.2581020168187,2.88852357200257,0.396563247545566,1.71966441075174e-14,1.37681246051672e-12
"SELENOP",9331.80902161765,-1.35184074487612,0.183375496645429,1.96492774525789e-14,1.56423878629592e-12
"CXCL13",1028.87793612977,-1.62390623734439,0.221200092667154,2.0694840445189e-14,1.63816615524036e-12
"CADPS2",153.2408469998,-1.72238892609288,0.235148529226847,2.40025752052016e-14,1.88932629887686e-12
"EXO1",42.9869396559774,5.89804370486818,0.801090727495101,2.42931811002974e-14,1.90151821450428e-12
"ABCB1",237.396203147439,-1.38213963187865,0.188409997488167,2.56792354511761e-14,1.98779982268745e-12
"CDH1",26.1774822688137,-4.02242096264725,0.543484793090523,2.5593321316916e-14,1.98779982268745e-12
"TRIP13",46.6889109467067,4.30422826449392,0.597380480874414,2.9924775436172e-14,2.30371444305608e-12
"C1R",3658.52354651706,-0.888137353894918,0.120129552847036,3.41786849274798e-14,2.61681723780831e-12
"EGLN3",438.769419728614,1.23713516676904,0.169140736159124,3.55361552644598e-14,2.70596234462144e-12
"BAAT",233.998035961136,-2.05051215843938,0.283446720502717,3.61105503247086e-14,2.73483740864591e-12
"CES2",2412.74755426878,-1.12247398926983,0.153351395360023,3.92958959153925e-14,2.96007955736863e-12
"GCKR",237.254691737669,-2.04034946175571,0.282395582886161,4.1071076106777e-14,3.07725586808585e-12
"GINS1",32.5160457415809,3.5256514918775,0.487322525585837,4.46866052609102e-14,3.33034056548199e-12
"RFC3",67.4983477186925,2.86568185571239,0.398305464881842,4.74527316715572e-14,3.51777896005391e-12
"SHCBP1",31.6664953003778,3.7840973271846,0.531740113311798,5.13999874542006e-14,3.79034328537265e-12
"ALDH6A1",388.028191132804,-1.40226196407839,0.193838649207526,5.59038428561429e-14,4.10088346731632e-12
"TUBB",2581.19266652682,2.20180179738794,0.307261630198437,5.70434563595839e-14,4.1626868075736e-12
